id,ACC,F1,SE,SP,IoU,AUC
S1075L01,0.9917522321428571,0.9523993558776167,1.0,0.9910104978894742,0.9091244466305952,
S1075L02,0.9946986607142857,0.9661897643960424,0.9961837663290768,0.994576443161366,0.9345910217570917,
S1075L03,0.9947209821428571,0.9660713004805968,0.9998515219005196,0.9943039884148916,0.9343693631191897,
S1075L04,0.993828125,0.9585674683449464,1.0,0.9933536050382799,0.920431654676259,
S1075L05,0.9921651785714286,0.9503184713375796,1.0,0.9915305359168014,0.9053398058252428,
S1075L06,0.9923102678571428,0.9562456340890328,0.9986735641331742,0.9917256674912565,0.9161596495497688,
S1075R01,0.992890625,0.9534594871045518,0.9998467667790377,0.9923441750728267,0.9110583635855907,
S1075R02,0.99703125,0.969861772037163,0.988909426987061,0.9974434749976545,0.9414870215574132,
S1075R03,0.9957366071428572,0.9558993304086816,1.0,0.9955300725485607,0.9155241043785936,
S1075R04,0.9952678571428571,0.9504441327723235,0.9667142177841179,0.9966742394079209,0.9055679287305123,
S1075R05,0.9951227678571428,0.9507827458047078,1.0,0.9948816453694702,0.9061829111206526,
S1075R06,0.9943191964285715,0.9484661334413284,0.9940577249575552,0.9943337103006314,0.9019834392451377,
S1076L01,0.991875,0.9644496532864537,0.9996962947965176,0.9909058979955345,0.931340186739602,
S1076L02,0.9917857142857143,0.9615786176654834,1.0,0.9908446324169673,0.9260004021717273,
S1076L03,0.9924441964285714,0.9616408861691881,0.9949583773009731,0.9921796943419965,0.9261159009058169,
S1076L04,0.9906919642857143,0.9520854877628404,1.0,0.9897434636102024,0.9085526315789474,
S1076L05,0.9944196428571429,0.9725696730305026,0.9995489400090212,0.9938562156270129,0.9466040153780436,
S1076L06,0.9928459821428571,0.9649516102575318,0.9987549518958687,0.992199591407169,0.9322768092974115,
S1076L07,0.9934933035714286,0.9695322707081264,0.9875439156818908,0.994190033288865,0.9408662136119282,
S1076R01,0.9937611607142857,0.966704389779022,1.0,0.9931398416886543,0.9355545307816463,
S1076R02,0.9966852678571428,0.9822485207100592,0.9970877320713506,0.9966445015302547,0.9651162790697675,
S1076R03,0.9975669642857142,0.9866731874312263,1.0,0.9973261376180547,0.9736969111969112,
S1076R04,0.9920424107142857,0.9604130808950087,1.0,0.9911922026905164,0.9238410596026491,
S1076R05,0.99265625,0.9617797397769516,1.0,0.9919086090923623,0.9263735034127784,
S1076R06,0.9930022321428571,0.9645462256149279,1.0,0.9922660384107758,0.9315203145478375,
S1076R07,0.9909821428571428,0.9569434082915912,0.9950132978723404,0.990530679110405,0.917441504035966,
S1077R01,0.9893415178571429,0.9482525060959089,1.0,0.9881880024737167,0.9015971148892323,
S1077R02,0.9942075892857143,0.9673605433620527,1.0,0.9936636999597114,0.9367844092570037,
S1077R03,0.9932142857142857,0.9633469978297564,0.9908234126984127,0.9934507456828885,0.929285880437311,
S1077R04,0.9952678571428571,0.9732357025628078,0.9998702983138781,0.9948345341311515,0.9478667158490102,
S1077R05,0.9951004464285714,0.971982896164401,1.0,0.9946453619564555,0.9454929227712938,
S1077R06,0.9961830357142857,0.9746854182087342,1.0,0.9958803122289679,0.9506208489748773,
S1077R07,0.9929575892857143,0.9567245044921473,1.0,0.9923630862329803,0.9170391795950565,
S1078L01,0.9957254464285714,0.9684643886372993,0.9920715249662618,0.9959843197246391,0.9388569604086845,
S1078L02,0.9945647321428571,0.958816067653277,1.0,0.9941976147073192,0.9208901884340481,
S1078L03,0.9941964285714285,0.9534217126477965,0.9971894322653176,0.9940068594756892,0.9109893871961657,
S1078L04,0.9918191964285714,0.9363880933784605,1.0,0.9912950537379015,0.8803851174934726,
S1078L05,0.9946986607142857,0.9602277484719083,0.9853926791544939,0.9953450066244136,0.9234981478498954,
S1078L06,0.9969977678571429,0.9696764739037312,1.0,0.996846387413686,0.9411378555798687,
S1078L07,0.9918080357142857,0.9255124822407145,1.0,0.9913687676387583,0.8613524744994333,
S1078R01,0.9944196428571429,0.9646593158043539,0.9921488804885141,0.9946084475713837,0.9317312943746586,
S1078R02,0.9955022321428572,0.9674921351939986,0.9996666111018503,0.9952034066578151,0.93703125,
S1078R03,0.9965178571428571,0.9782244556113903,0.988155668358714,0.99723663159936,0.9573770491803278,
S1078R04,0.9955803571428572,0.9721792890262752,0.9985567903016308,0.9953308899130288,0.9458646616541353,
S1078R05,0.9950892857142857,0.9681620839363242,0.9944997770179872,0.9951371375478141,0.938288920056101,
S1078R06,0.9948102678571429,0.9593921928215876,0.9996360327570518,0.9944949765174484,0.9219536757301108,
S1078R07,0.995625,0.9638975870326026,0.9608887256702167,0.9978729472158187,0.9303111111111111,
S1079L01,0.9937388392857143,0.947020492964397,1.0,0.9933676967819733,0.8993721973094171,
S1079L02,0.9943191964285715,0.9443289948594553,0.9762550881953868,0.99525699124187,0.8945296311645254,
S1079L03,0.9952232142857143,0.95496632996633,0.983102253032929,0.9958815777087452,0.9138139347563431,
S1079L04,0.9934821428571429,0.9445077917141771,1.0,0.993099373744535,0.8948505581562838,
S1079L05,0.9923214285714286,0.9329434697855751,0.9939771547248183,0.9922273987143952,0.8743149433686518,
S1079L06,0.9948549107142857,0.9505099302200751,1.0,0.9945874866448288,0.9056873977086743,
S1079L07,0.996328125,0.9643669446550417,1.0,0.9961361394278198,0.931185944363104,
S1079R01,0.9954129464285715,0.9664133366021084,0.9778402513643129,0.9966847390279224,0.9350094876660342,
S1079R02,0.994140625,0.9526044958021125,1.0,0.9937740145154405,0.9094983623513188,
S1079R03,0.9944196428571429,0.9538830474082273,0.977874432677761,0.995457348894582,0.9118321283724211,
S1079R04,0.9967857142857143,0.9725033416077907,0.9990192232247941,0.9966509668410215,0.9464783497491173,
S1079R05,0.9931808035714286,0.9436710611228911,1.0,0.9927676901588504,0.8933496247163554,
S1079R06,0.9946986607142857,0.9546885433559096,1.0,0.9943850773086198,0.9133053476911845,
S1079R07,0.9942410714285714,0.953977880841955,0.9990659443302821,0.9939345021187698,0.9120054570259208,
S1080L01,0.9958147321428571,0.9698722583755122,0.9925999013320178,0.9960488032663226,0.9415067852129153,
S1080L02,0.9933035714285714,0.9535459894704242,0.9961177612423164,0.9930950154642882,0.9112163361941403,
S1080L03,0.9946651785714286,0.9610495436766623,0.9984761259735861,0.9943962530169427,0.9250196078431373,
S1080L04,0.9936272321428572,0.9514414491028149,0.9441350210970464,0.997131759784882,0.9073803730738037,
S1080L05,0.9905022321428572,0.9368460111317254,0.9998415967052114,0.9897943256450586,0.8811950300153567,
S1080L06,0.99296875,0.9475960738645816,0.9788623474823853,0.9939485086117378,0.9004110022130888,
S1080L07,0.94953125,0.5918772563176895,0.426953125,0.99852294921875,0.4203307268298936,
S1080R01,0.9855357142857143,0.9170719221909394,0.991696650982563,0.9849952654963945,0.8468447175608603,
S1080R02,0.9894196428571429,0.9438188929714354,0.9905460878218684,0.9893086156373757,0.8936146335989227,
S1080R03,0.988125,0.9359267734553776,1.0,0.9869972748047758,0.8795698924731182,
S1080R04,0.9923549107142857,0.9568503937007874,1.0,0.9916468508017804,0.9172705314009661,
S1080R05,0.9938058035714286,0.9591401015975852,0.9877179681576952,0.994289500632492,0.9214881878624982,
S1081L01,0.9931696428571428,0.9428571428571428,0.9419776119402985,0.9964268755935423,0.8918918918918919,
S1081L02,0.9919977678571429,0.951765893037336,1.0,0.9913118289993457,0.9079707354639969,
S1081L03,0.9947991071428571,0.964777021919879,1.0,0.9944002499459251,0.9319509345794392,
S1081L04,0.9933705357142857,0.9589325221238938,0.9988477603341495,0.9929104613039428,0.9211050604329925,
S1081L05,0.9882589285714286,0.9324515217670476,0.9972531245708007,0.9874634045603081,0.8734512209791893,
S1081L06,0.9942299107142857,0.955342489418675,0.9667832167832168,0.996101573676681,0.9145030593682818,
S1081L07,0.9903013392857143,0.942484611820769,1.0,0.9894641125121242,0.891225434973088,
S1081L08,0.9893415178571429,0.9528371771445503,1.0,0.9880554825960252,0.9099226561026221,
S1081L09,0.9903459821428572,0.9563417957906425,0.9904861474124412,0.9903292309614543,0.9163362027275365,
S1081L10,0.9948102678571429,0.9738367186181286,0.9863232277182585,0.9957315715240146,0.9490075666191469,
S1081R01,0.9955691964285714,0.9691650485436893,0.98251968503937,0.9965645645645645,0.9401748040988547,
S1081R02,0.9955580357142857,0.9703295064857611,1.0,0.9952101285322293,0.9423689545322907,
S1081R03,0.9969977678571429,0.9805874287363787,0.9979435957696827,0.9969199922697846,0.9619142007645476,
S1081R04,0.9915066964285715,0.9478588557725248,1.0,0.9907961733367198,0.9008856473039855,
S1081R05,0.9943861607142858,0.9687052821501898,1.0,0.9938519831326774,0.9393098455598455,
S1081R06,0.9932700892857143,0.9641604754829123,1.0,0.9926002282516658,0.930801009869176,
S1081R07,0.9926450892857143,0.9383708968484055,1.0,0.9922088362909804,0.8838971106412967,
S1081R08,0.9982477678571429,0.9898164364013751,0.9976464435146444,0.9983038852010934,0.9798381918582253,
S1081R09,0.9898102678571429,0.9265191146881288,1.0,0.9891107294499308,0.8630979157294947,
S1081R10,0.9961830357142857,0.9697773064687168,1.0,0.9959340411113621,0.9413278435409161,
S1082L01,0.9949553571428571,0.9598650328538448,1.0,0.9946315101846903,0.9228273860338057,
S1082L02,0.9976004464285714,0.9789483990991873,0.998003593531643,0.9975765743400599,0.958764863828155,
